title|description|value|count
Corners|A full size 1v1 with artillery, infantry, and cavalry.|0123!!    *"!!    *"      &&                ''      #+    !!#+    !!|1
Basic Battle|A 2v2 or free for all with infantry and cavalry.|0123  )--)     --   '      &++    **++    **'      &   ,,     (,,(  |1
Hallway|A close quarters 2v2 battle with infantry and cavalry.|0123  !!!!! !!!  $!!      **%     **++     $++      !!%  !!! !!!!!  |1
Cross|A hectic 2v2 or free for all with all unit types.|0123)  !!  & -    *   !  !  !  %"  !!  #$  !  !  !   +    , '  !!  (|1
Full Fight|A massive 1v1 with everything.|0123++ !  **#      "#''  &&&++    **++    **'''  &&"#      "++  ! **|1
Skirmish|Four armies of infantry and cavalry.|0123!!!--))!''   ))!''     !+      *+      *!     &&!((   &&!((,,!!!|1
Chaos|The battlefield has been left in disarray.|0123!!!!  !!!' &! !!  +  +  !&  &  +*  '  '!  *  *  !! !' &!!!  !!!!|1
Crispy Cross|Lots of artillery and cavalry.|0123%%   ) " )    &"' )  &     %"      #$     '  ( &#'    ( # (   $$|1
Full 2v2|A full size 2v2 with all troop types.|0123++     $)     **)     **       $%       ++     (++     (%     **|1
Cavalry Skirmish|A full horse battle.|0123!!!   &&!     &&!       ))    (())    ((       !''     !''   !!!|1
