title|description|value|count
Short Move|Move:{~}Infantry: 1{~}Cavalry: 2{~}Artillery: 1|/'_!!!!!"!        |2
Move|Move:{~}Infantry: 3{~}Cavalry: 4{~}Artillery: 2|/'_!!!!#$"        |2
Long Move|Move:{~}Infantry: 4{~}Cavalry: 6{~}Artillery: 3|/'_!!!!$&#        |2
Long haul|Move the artillery 4 spaces|/$_!!!!  $        |2
Double Move|Move 2 turns:{~}Infantry: 2{~}Cavalry: 2{~}Artillery: 1|/'_!!"!""!        |2
Long Double Move|Move 2 turns:{~}Infantry: 3{~}Cavalry: 3{~}Artillery: 2|/'_!!"!##"        |2
Selective Attack|Select a troop to attack with|/'_!!!""!$        |2
Coordinated Attack|Select 2 unit types to attack with|/'_!"!""!$        |2
Move and Attack|Move 1 space and attack with your selected troop type|/'_!!!!!!!""!$    |2
Fire Everything|Attack with all units|/'_!#!""!$        |1
