title|description|value|count
Really Really Long Move|Move any unit type 8 spaces|/'_!!!!(((        |1
Massacre|Attack, move 2, and then attack again with the cavalry|/"_!!!" ! ! " " ! |1
Attack and Retreat|Move 2, attack, and then move back 2 with the cavalry|/"_!!!! " " ! ! B |1
Face Deconstruction|Attack 3 and 4 spaces with the artillery|/$_!!!"  #"  $    |1
Infantry Rifled Shot|Attack 4 spaces with the infantry|/!_!!!"$          |1
Just kill them already|Fire everything for 2 turns|/'_!#"""!$        |1
We have too much ammo|Attack with a unit for 4 turns|/'_!!$""!$        |1
Double Long Shot|Attack 3 spaces with the infantry for 2 turns|/!_!!""#          |1
Go Go Go Go Go Go Go|Move everything 5 spaces|/'_!#!!%%%        |1
Desperation|Fire your artillery in all 4 directions|/$_$!!!  $        |1
